"PK","SK","close","created_at","high","low","open","pair","timeframe_minutes","timestamp","volume","vwap"
"PAIR#XXBTZUSD","TF#1m#TS#1778389200","80729","1778432425","80741.8","80729","80741.8","XXBTZUSD","1","1778389200","0.06036433","80740.6"
"PAIR#XXBTZUSD","TF#1m#TS#1778389260","80722.7","1778432499","80729","80722.7","80728.9","XXBTZUSD","1","1778389260","0.02144939","80723.2"
"PAIR#XXBTZUSD","TF#1m#TS#1778389320","80722.7","1778432545","80722.8","80722.7","80722.8","XXBTZUSD","1","1778389320","0.00133347","80722.7"
"PAIR#XXBTZUSD","TF#1m#TS#1778389380","80722.8","1778432605","80722.8","80722.7","80722.7","XXBTZUSD","1","1778389380","0.00848397","80722.7"
"PAIR#XXBTZUSD","TF#1m#TS#1778389440","80722.7","1778432665","80722.8","80722.7","80722.8","XXBTZUSD","1","1778389440","0.01179537","80722.7"
"PAIR#XXBTZUSD","TF#1m#TS#1778389500","80722.8","1778432726","80722.8","80722.7","80722.8","XXBTZUSD","1","1778389500","0.01096384","80722.7"
"PAIR#XXBTZUSD","TF#1m#TS#1778389560","80722.7","1778432785","80722.8","80722.7","80722.8","XXBTZUSD","1","1778389560","0.01207936","80722.7"
"PAIR#XXBTZUSD","TF#1m#TS#1778389620","80722.8","1778432845","80722.8","80722.7","80722.7","XXBTZUSD","1","1778389620","0.03486635","80722.7"
"PAIR#XXBTZUSD","TF#1m#TS#1778389680","80722.7","1778432905","80722.8","80722.7","80722.8","XXBTZUSD","1","1778389680","0.03828273","80722.7"
"PAIR#XXBTZUSD","TF#1m#TS#1778389740","80722.8","1778432965","80722.8","80722.7","80722.7","XXBTZUSD","1","1778389740","0.00841236","80722.7"
"PAIR#XXBTZUSD","TF#1m#TS#1778389800","80722.8","1778433025","80722.8","80722.7","80722.8","XXBTZUSD","1","1778389800","0.01258278","80722.7"
"PAIR#XXBTZUSD","TF#1m#TS#1778389860","80722.7","1778433085","80722.8","80722.7","80722.8","XXBTZUSD","1","1778389860","0.01803009","80722.7"
"PAIR#XXBTZUSD","TF#1m#TS#1778389920","80722.8","1778433145","80722.8","80722.7","80722.8","XXBTZUSD","1","1778389920","0.0035851","80722.7"
"PAIR#XXBTZUSD","TF#1m#TS#1778389980","80722.7","1778433205","80722.8","80722.7","80722.7","XXBTZUSD","1","1778389980","0.08588631","80722.7"
"PAIR#XXBTZUSD","TF#1m#TS#1778390040","80725.8","1778433265","80725.8","80722.7","80722.8","XXBTZUSD","1","1778390040","0.10364568","80722.8"
"PAIR#XXBTZUSD","TF#1m#TS#1778390100","80750.8","1778433325","80750.8","80725.8","80725.8","XXBTZUSD","1","1778390100","0.32326933","80738.5"
